Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
4446	37603	CBFB	U937	None	Pleura	0.35390616582389545	0.5755038310294539	0.9972587837771092	0.9917600735131884
4447	68053	RELB	L1236	Hodgkin Lymphoma Cell	None	0.8995490572965621	0.4072554142013395	0.997195783859829	0.9917888748525294
4448	46293	CTCFL	K562	Erythroblast	Bone Marrow	0.9827635862933095	0.7690186001746313	0.9967104592758425	0.9917935327141503
4449	67837	BRD4	LP-1	None	None	0.9691655129132682	0.9127558172485416	0.9968976452695882	0.9918012591108036
4450	71105	CTCF	VCaP	Epithelium	Prostate	0.9182502914374052	0.05026266809895726	0.9973384039877021	0.9918482380160616
4451	63176	ETV1	K562	Erythroblast	Bone Marrow	0.7738722509879773	0.9174209562369108	0.9971632957751004	0.9918496343399509
4452	62800	KLF9	MCF-7	Epithelium	Breast	0.8892819328764754	0.8280893043036464	0.9971852542994217	0.9918753712021069
4453	47597	KLF5	AGS	Epithelium	Stomach	0.9536614852348625	0.8100808617796613	0.997108050230262	0.991933542526936
4454	64888	NCOA1	K562	Erythroblast	Bone Marrow	0.7263369262460937	0.8961880172536723	0.9972246748284356	0.9919437874911232
4455	76252	CTCF	MCF-10A	Epithelium	None	0.8656906851039745	0.03493388909343102	0.9974608261817206	0.9919438837679628
4456	3056	CTCF	None	Stromal Cell	Adipose	0.9558659865381366	0.10428706993355713	0.9972172537820846	0.9919505671963329
4457	9508	TFAP2C	BT-474	Epithelium	Mammary Gland	0.9430021506564619	0.8919015031863073	0.9971156845583878	0.9919575711243128
4458	46071	E2F6	A549	Epithelium	Lung	0.9191263450965497	0.9164587553008376	0.9971388045276603	0.9919649871867324
4459	57806	BRD3	LX2	Hepatic Stellate Cell	None	0.37770898907751005	0.35040760119462155	0.9973466991668206	0.9919806193571199
4460	45400	KDM1A	K562	Erythroblast	Bone Marrow	0.9099576999492703	0.8250958769243542	0.9972088947651215	0.9919848051046632
4461	8783	KDM1A	K562	Erythroblast	Bone Marrow	0.9099576999492703	0.8250958769243542	0.9972088947651215	0.9919848051046632
4462	69881	CDK9	None	Th1	None	0.8107785032060287	0.5524305820713813	0.9973011386602617	0.992016305312494
4463	46040	SMC3	SK-N-SH	Neuroblastoma cell	Brain	0.9684599953388504	0.2585183420513385	0.9971442087254869	0.9920814774064537
